Pointer Name,Target Data Type,DataStructType
LIGHT_INFLUENCE * *,LIGHT_INFLUENCE *,Pointer
MTX34 *,MTX34,Structure
MTX34 * *,MTX34 *,Pointer
MTX34 * * *,MTX34 * *,Pointer
MTX44 *,MTX44,Structure
MakeTmp_c *,MakeTmp_c,Structure
MoveParaSet *,MoveParaSet,Structure
MyPicture *,MyPicture,Structure
OSCalendarTime *,OSCalendarTime,Structure
OSContext *,OSContext,Structure
OSMessage *,OSMessage,TypeDef
OSMessageQueue *,OSMessageQueue,Structure
OSMutex *,OSMutex,Structure
OSThread *,OSThread,Structure
Osc_ *,Osc_,Structure
PADStatus *,PADStatus,Structure
PTMF *,PTMF,Structure
PTMF * *,PTMF *,Pointer
Packet_c *,Packet_c,Structure
PanMatrix_ *,PanMatrix_,Structure
PrmBarrel2_c *,PrmBarrel2_c,Structure
Quaternion *,Quaternion,Structure
Quaternion * *,Quaternion *,Pointer
ResFONT *,ResFONT,Structure
ResFONT__GLY1 *,ResFONT__GLY1,Structure
ResFONT__GLY1 * *,ResFONT__GLY1 *,Pointer
ResFONT__INF1 *,ResFONT__INF1,Structure
ResFONT__MAP1 *,ResFONT__MAP1,Structure
ResFONT__MAP1 * *,ResFONT__MAP1 *,Pointer
ResNTAB *,ResNTAB,Structure
ResTIMG *,ResTIMG,Structure
ResTIMG * *,ResTIMG *,Pointer
ResTLUT *,ResTLUT,Structure
SDIFileEntry *,SDIFileEntry,Structure
SDirEntry *,SDirEntry,Structure
STControl *,STControl,Structure
SeParameter *,SeParameter,Structure
SeqUpdateData *,SeqUpdateData,Structure
ShopCam_action_c *,ShopCam_action_c,Structure
ShopCursor_c *,ShopCursor_c,Structure
ShopItems_c *,ShopItems_c,Structure
ShopItems_c__ItemData *,ShopItems_c__ItemData,Structure
TActor *,TActor,Structure
TAdaptor *,TAdaptor,Structure
TAdaptor_actor *,TAdaptor_actor,Structure
TAdaptor_ambientLight *,TAdaptor_ambientLight,Structure
TAdaptor_camera *,TAdaptor_camera,Structure
TAdaptor_fog *,TAdaptor_fog,Structure
TAdaptor_light *,TAdaptor_light,Structure
TAdaptor_message *,TAdaptor_message,Structure
TAdaptor_particle *,TAdaptor_particle,Structure
TAdaptor_sound *,TAdaptor_sound,Structure
TAllocator *,TAllocator,Structure
TAmbientLight *,TAmbientLight,Structure
TBank *,TBank,Structure
TBasicBank *,TBasicBank,Structure
TBasicWaveBank *,TBasicWaveBank,Structure
TBox2<float> *,TBox2<float>,Structure
TCachePage *,TCachePage,Structure
TCamera *,TCamera,Structure
TChannel *,TChannel,Structure
TChannelMgr *,TChannelMgr,Structure
TColor *,TColor,TypeDef
